route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RES",1,2208,"Rockaway",10117,0,101,44
"RES",1,2209,"Rockaway",10119,0,101,44
"RES",1,2210,"Rockaway",10121,0,101,44
"RES",1,2211,"Rockaway",10123,0,101,44
"RES",1,2212,"Rockaway",10125,0,101,44
"RES",1,2213,"Rockaway",10127,0,101,44
"RES",1,2214,"Rockaway",10129,0,101,44
"RES",1,2215,"Rockaway East",10102,1,101,37
"RES",1,2216,"Rockaway East",10104,1,101,37
"RES",1,2217,"Rockaway East",10106,1,101,37
"RES",1,2218,"Rockaway East",10108,1,101,37
"RES",1,2219,"Rockaway East",10110,1,101,37
"RES",1,2220,"Rockaway East",10112,1,101,37
"RES",1,2221,"Rockaway East",10114,1,101,37
"RES",1,2222,"Rockaway East",10116,1,101,37
"RES",1,2223,"Rockaway East",10118,1,101,37
"RES",1,2224,"Rockaway East",10120,1,101,37
"RES",1,2225,"Rockaway East",10122,1,101,37
"RES",1,2226,"Rockaway East",10124,1,101,37
"RES",1,2227,"Rockaway East",10126,1,101,37
"RES",1,2228,"Rockaway East",10128,1,101,37
"RES",1,2229,"Rockaway East",10130,1,101,37
"RES",1,2230,"Rockaway East",10131,1,101,37
"RES",2,2231,"Rockaway",10101,0,101,44
"RES",2,2232,"Rockaway",10103,0,101,44
"RES",2,2233,"Rockaway",10105,0,101,44
"RES",2,2234,"Rockaway",10107,0,101,44
"RES",2,2235,"Rockaway",10109,0,101,44
"RES",2,2236,"Rockaway",10111,0,101,44
"RES",2,2237,"Rockaway",10113,0,101,44
"RES",2,2238,"Rockaway",10115,0,101,44
"RES",2,2240,"Rockaway",10117,0,101,44
"RES",2,2241,"Rockaway",10119,0,101,44
"RES",2,2242,"Rockaway",10121,0,101,44
"RES",2,2243,"Rockaway East",10102,1,101,37
"RES",2,2244,"Rockaway East",10104,1,101,37
"RES",2,2245,"Rockaway East",10106,1,101,37
"RES",2,2246,"Rockaway East",10108,1,101,37
"RES",2,2247,"Rockaway East",10110,1,101,37
"RES",2,2248,"Rockaway East",10112,1,101,37
"RES",2,2249,"Rockaway East",10114,1,101,37
"RES",2,2250,"Rockaway East",10116,1,101,37
"RES",2,2251,"Rockaway East",10118,1,101,37
"RES",2,2252,"Rockaway East",10120,1,101,37
"RES",2,2253,"Rockaway East",10122,1,101,37
"RES",2,2254,"Rockaway East",10123,1,101,37
"RWS",1,2255,"Rockaway",20101,0,201,27
"RWS",1,2256,"Rockaway",20103,0,201,27
"RWS",1,2257,"Rockaway",20105,0,201,27
"RWS",1,2258,"Rockaway",20107,0,201,27
"RWS",1,2259,"Rockaway",20109,0,201,27
"RWS",1,2260,"Rockaway",20111,0,201,27
"RWS",1,2261,"Rockaway",20113,0,201,27
"RWS",1,2263,"Rockaway",20115,0,201,27
"RWS",1,2264,"Rockaway",20117,0,201,27
