trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
74,19:48:00,19:48:00,4,7,,0,0,1
75,19:19:00,19:19:00,87,1,,0,0,1
75,19:29:00,19:29:00,20,2,,0,0,1
75,19:41:00,19:41:00,8,3,,0,0,1
75,19:51:00,19:51:00,19,4,,0,0,1
75,20:00:00,20:00:00,18,5,,0,0,1
75,20:08:00,20:08:00,17,6,,0,0,1
75,20:12:00,20:12:00,4,7,,0,0,1
76,19:43:00,19:43:00,87,1,,0,0,1
76,19:53:00,19:53:00,20,2,,0,0,1
76,20:05:00,20:05:00,8,3,,0,0,1
76,20:15:00,20:15:00,19,4,,0,0,1
76,20:24:00,20:24:00,18,5,,0,0,1
76,20:32:00,20:32:00,17,6,,0,0,1
76,20:36:00,20:36:00,4,7,,0,0,1
77,20:07:00,20:07:00,87,1,,0,0,1
77,20:17:00,20:17:00,20,2,,0,0,1
77,20:29:00,20:29:00,8,3,,0,0,1
77,20:39:00,20:39:00,19,4,,0,0,1
77,20:48:00,20:48:00,18,5,,0,0,1
77,20:56:00,20:56:00,17,6,,0,0,1
77,21:00:00,21:00:00,4,7,,0,0,1
78,21:19:00,21:19:00,87,1,,0,0,1
78,21:29:00,21:29:00,20,2,,0,0,1
78,21:41:00,21:41:00,8,3,,0,0,1
78,21:51:00,21:51:00,19,4,,0,0,1
78,22:00:00,22:00:00,18,5,,0,0,1
78,22:08:00,22:08:00,17,6,,0,0,1
78,22:12:00,22:12:00,4,7,,0,0,1
79,08:04:00,08:04:00,4,1,,0,0,1
79,08:12:00,08:12:00,17,2,,0,0,1
79,08:21:00,08:21:00,18,3,,0,0,1
79,08:31:00,08:31:00,19,4,,0,0,1
79,08:40:00,08:40:00,8,5,,0,0,1
79,08:54:00,08:54:00,20,6,,0,0,1
79,08:58:00,08:58:00,87,7,,0,0,1
80,09:01:00,09:01:00,4,1,,0,0,1
80,09:09:00,09:09:00,17,2,,0,0,1
80,09:18:00,09:18:00,18,3,,0,0,1
80,09:28:00,09:28:00,19,4,,0,0,1
80,09:37:00,09:37:00,8,5,,0,0,1
80,09:51:00,09:51:00,20,6,,0,0,1
80,09:55:00,09:55:00,87,7,,0,0,1
81,10:04:00,10:04:00,4,1,,0,0,1
81,10:12:00,10:12:00,17,2,,0,0,1
81,10:21:00,10:21:00,18,3,,0,0,1
